FID,IDENTIFICA,CID,Class,VALUE_101,VALUE_110,VALUE_114,VALUE_122,VALUE_126,VALUE_1001,VALUE_1010,VALUE_1014,VALUE_1022,VALUE_1026,VALUE_1401,VALUE_1410,VALUE_1414,VALUE_1422,VALUE_1426,VALUE_2201,VALUE_2210,VALUE_2214,VALUE_2222,VALUE_2226,VALUE_2601,VALUE_2610,VALUE_2614,VALUE_2622,VALUE_2626
0,RAVINA,0,1,0,0,6149.536678,3514.020959,0,0,0,0,0,0,0,0,11420.56812,11420.56812,0,0,0,0,0,0,0,0,0,0,0
1,RAVINA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19327.11527,4392.526198,0,0,0,0,7906.547157,0,0,0,0,0,0
2,RAVINA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17570.10479,14056.08383,0,0,0,0,0,0,0,0,0,0,0
3,VOCOROCA,3,1,0,0,0,0,0,0,0,0,0,0,0,0,30747.68339,0,0,0,0,0,0,0,0,0,0,0,0
4,RAVINA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,25476.65195,2635.515719,0,0,0,0,3514.020959,0,0,0,0,0,0
5,RAVINA,5,1,878.5052396,0,0,0,0,0,0,0,0,0,3514.020959,0,12299.07336,14934.58907,0,0,0,0,0,0,0,0,0,0,0
6,VOCOROCA,6,1,0,0,0,0,0,0,0,0,0,0,0,0,6149.536678,25476.65195,0,0,0,0,0,0,0,0,0,0,0
7,VOCOROCA,7,1,0,0,0,0,0,0,0,0,0,0,0,0,16691.59955,11420.56812,0,0,0,0,0,0,0,0,0,0,0
8,VOCOROCA,8,1,0,0,0,0,0,0,0,0,0,0,0,0,17570.10479,8785.052396,0,0,0,0,4392.526198,0,0,0,0,0,0
9,RAVINA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,10542.06288,8785.052396,0,0,0,0,12299.07336,0,0,0,0,0,0
10,RAVINA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,15813.09431,16691.59955,0,0,0,0,0,0,0,0,0,0,0
11,RAVINA,11,1,0,0,0,0,0,0,0,0,0,0,0,0,18448.61003,8785.052396,0,0,0,0,4392.526198,0,0,0,0,0,0
12,RAVINA,12,1,0,0,0,0,0,0,0,0,0,0,0,0,15813.09431,5271.031438,0,0,0,0,7906.547157,0,0,0,0,0,0
13,RAVINA,13,1,0,0,0,0,0,0,0,0,0,0,0,0,29869.17815,2635.515719,0,0,0,0,0,0,0,0,0,0,0
14,VOCOROCA,14,1,0,0,0,0,0,0,0,0,0,0,0,0,28990.67291,2635.515719,0,0,0,0,0,0,0,0,0,0,0
15,RAVINA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,19327.11527,7906.547157,0,0,0,0,3514.020959,0,0,0,0,0,0
16,VOCOROCA,16,1,0,0,0,0,0,0,0,0,0,0,0,0,5271.031438,2635.515719,0,0,0,0,23719.64147,0,0,0,0,0,0
17,VOCOROCA,17,1,0,0,0,0,0,0,0,0,0,0,0,0,31626.18863,0,0,0,0,0,0,0,0,0,0,0,0
18,VOCOROCA,18,1,0,0,0,0,0,0,0,0,0,0,0,0,8785.052396,1757.010479,0,0,0,0,21084.12575,0,0,0,0,0,0
19,VOCOROCA,19,1,878.5052396,0,0,0,0,0,0,0,0,0,0,0,9663.557636,20205.62051,0,0,0,0,0,0,0,0,0,0,0
20,RAVINA,20,1,0,0,0,0,0,0,0,0,0,0,2635.515719,0,26355.15719,0,0,0,0,2635.515719,878.5052396,0,0,0,0,0,0
21,VOCOROCA,21,1,0,0,0,0,0,0,0,0,0,0,878.5052396,0,14056.08383,3514.020959,0,0,0,2635.515719,10542.06288,0,0,0,0,0,0
22,VOCOROCA,22,1,0,0,0,0,0,0,0,0,0,0,4392.526198,0,4392.526198,20205.62051,0,0,0,0,3514.020959,0,0,0,0,0,0
23,VOCOROCA,23,1,0,0,0,0,0,0,0,0,0,0,0,0,28990.67291,2635.515719,0,0,0,0,0,0,0,0,0,0,0
24,RAVINA,24,1,0,0,0,0,0,0,0,0,0,0,0,0,24598.14671,6149.536678,0,0,0,0,0,0,0,0,0,0,0
25,VOCOROCA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,25476.65195,7028.041917,0,0,0,0,0,0,0,0,0,0,0
26,VOCOROCA,26,1,0,0,878.5052396,0,0,0,0,0,0,0,0,0,8785.052396,7028.041917,0,0,0,0,0,0,0,0,0,0,0
27,VOCOROCA,27,1,0,0,0,0,0,0,0,0,0,0,0,0,13177.57859,18448.61003,0,0,0,0,0,0,0,0,0,0,0
28,RAVINA,28,1,0,0,0,0,0,0,0,0,0,0,0,0,26355.15719,4392.526198,0,0,0,0,1757.010479,0,0,0,0,0,0
29,RAVINA,29,1,0,0,0,0,0,0,0,0,0,0,0,0,25476.65195,6149.536678,0,0,0,0,0,0,0,0,0,0,0
30,VOCOROCA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,14056.08383,7906.547157,0,0,0,0,10542.06288,0,0,0,0,0,0
31,VOCOROCA,31,1,0,0,0,0,0,0,0,0,0,0,0,0,28990.67291,2635.515719,0,0,0,0,0,0,0,0,0,0,0
32,VOCOROCA,32,1,0,0,0,0,0,0,0,0,0,0,0,0,25476.65195,4392.526198,0,0,0,0,0,0,0,0,0,0,0
33,VOCOROCA,33,1,0,0,0,0,0,0,0,0,0,0,0,0,22841.13623,7906.547157,0,0,0,0,0,0,0,0,0,0,0
34,RAVINA,34,1,0,0,0,0,0,0,0,0,0,0,0,0,32504.69387,0,0,0,0,0,0,0,0,0,0,0,0
35,VOCOROCA,35,1,0,0,0,0,0,0,0,0,0,0,0,0,21084.12575,9663.557636,0,0,0,0,0,0,0,0,0,0,0
36,VOCOROCA,36,1,0,0,0,0,0,0,0,0,0,0,0,0,26355.15719,4392.526198,0,0,0,0,0,0,0,0,0,0,0
